Article author,Comments,Barrier/enabler,Domain,CFIR Construct 1
"Bassilios, 2014",Other perceived positive impacts included that the project provided: a convenience for the consumer who could access the services from home; a quick response for consumers; and more frequent contact for consumers.,Enabler,Innovation,C. Innovation Relative Advantage
"Bassilios, 2014",Other perceived positive impacts included that the project provided: a convenience for the consumer who could access the services from home; a quick response for consumers; and more frequent contact for consumers.,Enabler,Innovation,Accessibility
"Bassilios, 2014",Eight of the 10 interviewed mental health professionals said that the mandatory Australian Psychological Society webinar training had been helpful.,Enabler,Inner setting,K. Access to Knowledge & Information
"Bassilios, 2014",Eight of the 10 interviewed mental health professionals said that the mandatory Australian Psychological Society webinar training had been helpful.,Enabler,Individuals,B. Capability
"Bassilios, 2014",Risk issues in one instance were managed by developing connections with local emergency departments and/or after hours services or were adequately managed solely via the telephone when the client had been seen for an initial face-to-face consultation. Others managed issues of risk by ensuring that they worked with specific clients that they deemed suitable for T-CBT.,Enabler,Outer setting,D. Partnerships & Connections
"Bassilios, 2014",Risk issues in one instance were managed by developing connections with local emergency departments and/or after hours services or were adequately managed solely via the telephone when the client had been seen for an initial face-to-face consultation. Others managed issues of risk by ensuring that they worked with specific clients that they deemed suitable for T-CBT.,Enabler,Innovation,Suitability
"Bassilios, 2014","Of the seven professionals who provided responses related to the referral process, two reported that the referral process was satisfactory. The other five professionals reported experiencing difficulties with the referral process that were associated with GP lack of response to the T-CBT pilot.",Barrier,Implementation process,F1. Innovation Deliverers
"Bassilios, 2014","It was also noted that the telephone modality was associated with difficulties building rapport, which was attributable to the loss of non-verbal and visual cues. In an effort to overcome this obstacle, five mental health professionals indicated that the initial sessions were conducted face-to-face, or that they adapted by learning â€˜to listen differently...itâ€™s more intense and you compensate with the listeningâ€™. Another mental health professional conceded that â€˜telephone is better than nothing and is very helpfulâ€™.",Enabler,Implementation process,E. Tailoring Strategies
"Bassilios, 2014","It was also noted that the telephone modality was associated with difficulties building rapport, which was attributable to the loss of non-verbal and visual cues. In an effort to overcome this obstacle, five mental health professionals indicated that the initial sessions were conducted face-to-face, or that they adapted by learning â€˜to listen differently...itâ€™s more intense and you compensate with the listeningâ€™. Another mental health professional conceded that â€˜telephone is better than nothing and is very helpfulâ€™.",Barrier,Inner setting,B. Relational Connections
"Bassilios, 2014","It was also noted that the telephone modality was associated with difficulties building rapport, which was attributable to the loss of non-verbal and visual cues. In an effort to overcome this obstacle, five mental health professionals indicated that the initial sessions were conducted face-to-face, or that they adapted by learning â€˜to listen differently...itâ€™s more intense and you compensate with the listeningâ€™. Another mental health professional conceded that â€˜telephone is better than nothing and is very helpfulâ€™.",Barrier,Individuals,B. Capability
"Bassilios, 2014","It was also noted that the telephone modality was associated with difficulties building rapport, which was attributable to the loss of non-verbal and visual cues. In an effort to overcome this obstacle, five mental health professionals indicated that the initial sessions were conducted face-to-face, or that they adapted by learning â€˜to listen differently...itâ€™s more intense and you compensate with the listeningâ€™. Another mental health professional conceded that â€˜telephone is better than nothing and is very helpfulâ€™.",Barrier,Implementation process,E. Tailoring Strategies
"Bassilios, 2014","Two mental health professionals commented on the inability to control the environments of their consumers, which led to distractions and frustration. Five mental health professionals reported discussing various strategies with their clients at the initial session to maximise privacy and minimise the risk of interruption of the T-CBT sessions.",Enabler,Implementation process,E. Tailoring Strategies
"Bassilios, 2014","Two mental health professionals commented on the inability to control the environments of their consumers, which led to distractions and frustration. Five mental health professionals reported discussing various strategies with their clients at the initial session to maximise privacy and minimise the risk of interruption of the T-CBT sessions.",Barrier,Innovation,G. Innovation Design
"Bassilios, 2014","Two mental health professionals commented on the inability to control the environments of their consumers, which led to distractions and frustration. Five mental health professionals reported discussing various strategies with their clients at the initial session to maximise privacy and minimise the risk of interruption of the T-CBT sessions.",Barrier,Innovation,Privacy
"Bassilios, 2014","Two mental health professionals commented on the inability to control the environments of their consumers, which led to distractions and frustration. Five mental health professionals reported discussing various strategies with their clients at the initial session to maximise privacy and minimise the risk of interruption of the T-CBT sessions.",Barrier,Inner setting,B. Relational Connections
"Bassilios, 2014","Two mental health professionals commented on the inability to control the environments of their consumers, which led to distractions and frustration. Five mental health professionals reported discussing various strategies with their clients at the initial session to maximise privacy and minimise the risk of interruption of the T-CBT sessions.",Barrier,Implementation process,E. Tailoring Strategies
"Bassilios, 2014","Three project officers expressed that the T-CBT pilot had had negative impacts for their Divisions in terms of additional workload. Nonetheless, the value of the T-CBT pilot was acknowledged as the majority of project officers expressed a desire for the service to continue.",Barrier,Inner setting,A3. Work Infrastructure
"Bassilios, 2014","Impact of the T-CBT pilot on Divisions. Thirteen project officers indicated that the T-CBT pilot had had positive impacts for the Division. The flexibility and option of the mode of service delivery and, in turn, its benevolent effect of increasing accessibility for consumers that may otherwise experience difficulties accessing psychological services, was the most frequently mentioned positive impact of the T-CBT pilot for Divisions (n= 11). ",Enabler,Innovation,Accessibility
"Bassilios, 2014","Benefits of T-CBT: Seven mental health professionals reported benefits associated with T-CBT. Overall, mental health professionals reported that the referrals received for T-CBT were suitable for this type of service. Three mental health professionals reported as beneficial the ability to service rural or remote areas and provide a greater continuity of service to consumers in these areas who 'wouldnâ€™t be seen otherwiseâ€™ due to access issues. The ability to offer high-need consumers telephone contact was also perceived positively by two mental health professionals, with one professional stating: â€˜itâ€™s certainly beneficial for those who canâ€™t or donâ€™t want to attend face-to-faceâ€™. Three mental health professionals commented that consumer outcomes had been good within the pilot and that consumers were reporting the services to be helpful. Other perceived positive impacts included that the project provided: a convenience for the consumer who could access the services from home; a quick response for consumers; and more frequent contact for consumers. Eight of the 10 interviewed mental health professionals said that the mandatory Australian Psychological Society webinar training had been helpful.",Barrier,Innovation,G. Innovation Design
"Bassilios, 2014",targeting a GP practice where distance issues (barriers to access) are more relevantâ€,Enabler,Outer setting,C. Local Conditions
"Bassilios, 2014",Six mental health professionals perceived negative impacts for consumers such as: the need to book appointments a fortnight in advance; poor mobile phone reception in some areas; the paperwork required; and the consumer did not always feel as connected and preferred â€˜face-to-face attentionâ€™.,Barrier,Inner setting,B. Relational Connections
"Bassilios, 2014",Six mental health professionals perceived negative impacts for consumers such as: the need to book appointments a fortnight in advance; poor mobile phone reception in some areas; the paperwork required; and the consumer did not always feel as connected and preferred â€˜face-to-face attentionâ€™.,Barrier,Inner setting,A2. Information Technology Infrastructure 
"Bassilios, 2014",Six mental health professionals perceived negative impacts for consumers such as: the need to book appointments a fortnight in advance; poor mobile phone reception in some areas; the paperwork required; and the consumer did not always feel as connected and preferred â€˜face-to-face attentionâ€™.,Barrier,Innovation,Preference
"Bassilios, 2014",Six mental health professionals perceived negative impacts for consumers such as: the need to book appointments a fortnight in advance; poor mobile phone reception in some areas; the paperwork required; and the consumer did not always feel as connected and preferred â€˜face-to-face attentionâ€™.,Barrier,Innovation,Accessibility
"Bassilios, 2014","The most common suggestion for improvement of the pilot, made by five mental health professionals, was the need for increased education and liaison with GPs regarding the services. Professionals commented that GPs were not aware of the program and that it â€˜can be difficult to get GPs used to a new ideaâ€™.",Enabler,Inner setting,K. Access to Knowledge & Information
"Bassilios, 2014","The most common suggestion for improvement of the pilot, made by five mental health professionals, was the need for increased education and liaison with GPs regarding the services. Professionals commented that GPs were not aware of the program and that it â€˜can be difficult to get GPs used to a new ideaâ€™.",Enabler,Implementation process,F1. Innovation Deliverers
"Bassilios, 2014"," Project officers reported that enhanced flexibility of service delivery guidelines, education of stakeholders and less paperwork would improve the T-CBT pilot. ",Barrier,Innovation,D. Innovation Adaptability
"Bassilios, 2014"," Project officers reported that enhanced flexibility of service delivery guidelines, education of stakeholders and less paperwork would improve the T-CBT pilot. ",Barrier,Innovation,G. Innovation Design
"Bassilios, 2014"," Project officers reported that enhanced flexibility of service delivery guidelines, education of stakeholders and less paperwork would improve the T-CBT pilot. ",Barrier,Inner setting,K. Access to Knowledge & Information
"Bassilios, 2014","They also noted other potential improvements such as increasing funding to â€˜improve capacity with more clinicians and therefore shorten wait listâ€™, â€˜targeting a GP practice where distance issues (barriers to access) are more relevantâ€™, and T-CBT services â€˜not being a temporary pilotâ€™.",Barrier,Outer setting,F. Financing
"Bassilios, 2014","They also noted other potential improvements such as increasing funding to â€˜improve capacity with more clinicians and therefore shorten wait listâ€™, â€˜targeting a GP practice where distance issues (barriers to access) are more relevantâ€™, and T-CBT services â€˜not being a temporary pilotâ€™.",Barrier,Innovation,E. Innovation trialability
"Bassilios, 2014",Mental health professionals also suggested that â€˜less paperworkâ€™ for consumers and charging consumers a co payment might improve the services.,Barrier,Innovation,G. Innovation Design
"Bassilios, 2014","Four mental health professionals made suggestions for further support and training, including: putting forms for mental health professionals and consumers online, offering a review training session to professionals after they have conducted some sessions, and providing an opportunity to â€˜link up with other [mental health professionals] across Australia to discuss patients.",Enabler,Outer setting,D. Partnerships & Connections
"Bassilios, 2014","The most commonly mentioned barrier (n = 9) was thelow rate ofGP referrals, which was attributed to difficulty convincing GPs to use the service, which in turn was probably attributable to their (and consumers’) preference for face-to-face treatment. This was exemplified by one project officer stating that ‘patients prefer to wait for face-to-face sessions’. It was expressed that over time patients might increasingly accept the T-CBT service option. ",Barrier,Individuals,D. Motivation
"Bassilios, 2014","The most commonly mentioned barrier (n = 9) was thelow rate ofGP referrals, which was attributed to difficulty convincing GPs to use the service, which in turn was probably attributable to their (and consumers’) preference for face-to-face treatment. This was exemplified by one project officer stating that ‘patients prefer to wait for face-to-face sessions’. It was expressed that over time patients might increasingly accept the T-CBT service option. ",Barrier,Innovation,Preference
"Bassilios, 2014","Telephone equipment and coverage issues and the additional paperwork were the next most, and equally, frequently cited barriers (n = 5). Funding issues were reported as barriers by three project officers, particularly in terms ofthe cost oftelephone calls and travel costs associated withmixingT-CBTwithsome face-toface sessions.",Barrier,Inner setting,A2. Information Technology Infrastructure 
"Bassilios, 2014","Telephone equipment and coverage issues and the additional paperwork were the next most, and equally, frequently cited barriers (n = 5). Funding issues were reported as barriers by three project officers, particularly in terms ofthe cost oftelephone calls and travel costs associated withmixingT-CBTwithsome face-toface sessions.",Barrier,Inner setting,A3. Work Infrastructure
"Bassilios, 2014","Telephone equipment and coverage issues and the additional paperwork were the next most, and equally, frequently cited barriers (n = 5). Funding issues were reported as barriers by three project officers, particularly in terms ofthe cost oftelephone calls and travel costs associated withmixingT-CBTwithsome face-toface sessions.",Barrier,Inner setting,J1. Funding
"Bassilios, 2014","Promotion ofthe T-CBT service Project officers indicated that they used a wide range of
strategies to promote the T-CBT service. These strategies made use ofall communication modalities – from hardcopy, electronic and telephone, to face-to-face. It was common for multiple strategies to be used, with provider newsletters and practice visits being the most commonly reported promotion strategies (n=12 and 8, respectively). Interestingly, none of the project officers specifically mentioned promoting the service to other community and health organisations not directly involved in ATAPS.",Enabler,Inner setting,C. Communications
"Bassilios, 2014",". Interestingly, none of the project officers specifically mentioned promoting the service to other community and health organisations not directly involved in ATAPS.",Barrier,Outer setting,D. Partnerships & Connections
"Bassilios, 2014","Another challenge cited by three mental health professionals was that they did not know what happened to consumers who did not answer their telephones, making it easier for consumers to drop out ofthe service. ",Barrier,Inner setting,Governance
"Bassilios, 2014","Ofthe 14 project officers who reported on facilitating factors, four indicated that positive provider responses facilitated the T-CBT pilot as demonstrated by this quote: ‘excellent clinicians who are enthusiastic and GPs who are open minded’. In addition, the flexibility ofthe guidelines around the referral mechanismand multimodal service delivery (i.e. the ability to combine telephone and face-to-face) was considered to facilitate the T-CBT pilot. In particular, allowing mental health professionals and project officers to make decisions about the (T-CBT) mode of service delivery, rather than relying on GPs to suggest T-CBT to consumers, was regarded as beneficial. Furthermore, the need for counselling services to be provided remotely and the fact that the service was embedded within ATAPS were reported to facilitate the pilot. ",Enabler,Innovation,D. Innovation Adaptability
"Bassilios, 2014","Ofthe 14 project officers who reported on facilitating factors, four indicated that positive provider responses facilitated the T-CBT pilot as demonstrated by this quote: ‘excellent clinicians who are enthusiastic and GPs who are open minded’. In addition, the flexibility ofthe guidelines around the referral mechanismand multimodal service delivery (i.e. the ability to combine telephone and face-to-face) was considered to facilitate the T-CBT pilot. In particular, allowing mental health professionals and project officers to make decisions about the (T-CBT) mode of service delivery, rather than relying on GPs to suggest T-CBT to consumers, was regarded as beneficial. Furthermore, the need for counselling services to be provided remotely and the fact that the service was embedded within ATAPS were reported to facilitate the pilot. ",Enabler,Innovation,Choice
"Bassilios, 2014","Ofthe 14 project officers who reported on facilitating factors, four indicated that positive provider responses facilitated the T-CBT pilot as demonstrated by this quote: ‘excellent clinicians who are enthusiastic and GPs who are open minded’. In addition, the flexibility ofthe guidelines around the referral mechanismand multimodal service delivery (i.e. the ability to combine telephone and face-to-face) was considered to facilitate the T-CBT pilot. In particular, allowing mental health professionals and project officers to make decisions about the (T-CBT) mode of service delivery, rather than relying on GPs to suggest T-CBT to consumers, was regarded as beneficial. Furthermore, the need for counselling services to be provided remotely and the fact that the service was embedded within ATAPS were reported to facilitate the pilot. ",Enabler,Individuals,D. Motivation
"Bassilios, 2014","Four mental health professionals made suggestions for further support and training, including: putting forms for mental health professionals and consumers online, offering a review training session to professionals after they have conducted some sessions, and providing an opportunity to â€˜link up with other [mental health professionals] across Australia to discuss patients.",Barrier,Inner setting,K. Access to Knowledge & Information
"Bassilios, 2014","Four mental health professionals made suggestions for further support and training, including: putting forms for mental health professionals and consumers online, offering a review training session to professionals after they have conducted some sessions, and providing an opportunity to â€˜link up with other [mental health professionals] across Australia to discuss patients.",Barrier,Outer setting,D. Partnerships & Connections
"Bassilios, 2014","Four mental health professionals made suggestions for further support and training, including: putting forms for mental health professionals and consumers online, offering a review training session to professionals after they have conducted some sessions, and providing an opportunity to â€˜link up with other [mental health professionals] across Australia to discuss patients.",Barrier,Individuals,B. Capability
"Bassilios, 2014","Benefits of T-CBT: Seven mental health professionals reported benefits associated with T-CBT. Overall, mental health professionals reported that the referrals received for T-CBT were suitable for this type of service. Three mental health professionals reported as beneficial the ability to service rural or remote areas and provide a greater continuity of service to consumers in these areas who 'wouldnâ€™t be seen otherwiseâ€™ due to access issues. The ability to offer high-need consumers telephone contact was also perceived positively by two mental health professionals, with one professional stating: â€˜itâ€™s certainly beneficial for those who canâ€™t or donâ€™t want to attend face-to-faceâ€™. Three mental health professionals commented that consumer outcomes had been good within the pilot and that consumers were reporting the services to be helpful. Other perceived positive impacts included that the project provided: a convenience for the consumer who could access the services from home; a quick response for consumers; and more frequent contact for consumers. Eight of the 10 interviewed mental health professionals said that the mandatory Australian Psychological Society webinar training had been helpful.",Barrier,Inner setting,C. Communications
"Bassilios, 2014","Benefits of T-CBT: Seven mental health professionals reported benefits associated with T-CBT. Overall, mental health professionals reported that the referrals received for T-CBT were suitable for this type of service. Three mental health professionals reported as beneficial the ability to service rural or remote areas and provide a greater continuity of service to consumers in these areas who 'wouldnâ€™t be seen otherwiseâ€™ due to access issues. The ability to offer high-need consumers telephone contact was also perceived positively by two mental health professionals, with one professional stating: â€˜itâ€™s certainly beneficial for those who canâ€™t or donâ€™t want to attend face-to-faceâ€™. Three mental health professionals commented that consumer outcomes had been good within the pilot and that consumers were reporting the services to be helpful. Other perceived positive impacts included that the project provided: a convenience for the consumer who could access the services from home; a quick response for consumers; and more frequent contact for consumers. Eight of the 10 interviewed mental health professionals said that the mandatory Australian Psychological Society webinar training had been helpful.",Barrier,Inner setting,Governance
"Chow, 2019","However, the participants also acknowledged that this issue had been less and less frequent with recent network updates.",Enabler,Inner setting,A2. Information Technology Infrastructure 
"Chow, 2019","The main issues reported in regards to the technology used were related to internet connectivity. Taking into consideration the characteristics of the local area where this program had  been  running,  some  of  the  rural  areas  were  not  covered  by  the telecommunications companies and despite the provision of SIM cards and USB data units, the internet connectivity was not a reliable resource, causing connectivity issues for transmission of results between devices and requiring the patients to enter measured results manually.",Barrier,Inner setting,A2. Information Technology Infrastructure 
"Chow, 2019","The main issues reported in regards to the technology used were related to internet connectivity. Taking into consideration the characteristics of the local area where this program had  been  running,  some  of  the  rural  areas  were  not  covered  by  the telecommunications companies and despite the provision of SIM cards and USB data units, the internet connectivity was not a reliable resource, causing connectivity issues for transmission of results between devices and requiring the patients to enter measured results manually.",Barrier,Outer setting,C. Local Conditions
"Chow, 2019","The main issues reported in regards to the technology used were related to internet connectivity. Taking into consideration the characteristics of the local area where this program had  been  running,  some  of  the  rural  areas  were  not  covered  by  the telecommunications companies and despite the provision of SIM cards and USB data units, the internet connectivity was not a reliable resource, causing connectivity issues for transmission of results between devices and requiring the patients to enter measured results manually.",Barrier,Innovation,Accessibility
"Chow, 2019","In other instances, the participants suggested provision of program updates at local level, as this could help overcoming the obliviousness or forgetfulness that came after some time without reminders of program availability.",Enabler,Implementation process,F1. Innovation Deliverers
"Chow, 2019","Other  challenges  encountered  with  technology  involved  initial  patient/staff understanding of how to use equipment with the need for further training, and even some instances where the equipment received by the patients were not appropriate size(i.e. blood pressure cuff was too small).",Barrier,Inner setting,K. Access to Knowledge & Information
"Chow, 2019","Other  challenges  encountered  with  technology  involved  initial  patient/staff understanding of how to use equipment with the need for further training, and even some instances where the equipment received by the patients were not appropriate size(i.e. blood pressure cuff was too small).",Barrier,Inner setting,J3. Materials & Equipment
"Chow, 2019","Other  challenges  encountered  with  technology  involved  initial  patient/staff understanding of how to use equipment with the need for further training, and even some instances where the equipment received by the patients were not appropriate size(i.e. blood pressure cuff was too small).",Barrier,Individuals,B. Capability
"Chow, 2019","It was viewed by the participants that one of the challenges was that at the point of engaging with the GPs (either at initial contact or catch-up), many of them were requesting some evidence-based outcomes so that they could make an informed decision on whether or not it would be beneficial for their patients.",Barrier,Implementation process,F1. Innovation Deliverers
"Chow, 2019","It was viewed by the participants that one of the challenges was that at the point of engaging with the GPs (either at initial contact or catch-up), many of them were requesting some evidence-based outcomes so that they could make an informed decision on whether or not it would be beneficial for their patients.",Barrier,Implementation process,B1. Innovation Deliverers
"Chow, 2019","It was viewed by the participants that one of the challenges was that at the point of engaging with the GPs (either at initial contact or catch-up), many of them were requesting some evidence-based outcomes so that they could make an informed decision on whether or not it would be beneficial for their patients.",Barrier,Innovation,B. Innovation Evidence-Base
"Chow, 2019","In correlation with the program risk of costs and strategies for resourcing, the participants recognized that the program was now part of the integrated care service delivery. Despite it being potentially a â€œcostly processâ€",Enabler,Innovation,F. Compatibility
"Chow, 2019","In correlation with the program risk of costs and strategies for resourcing, the participants recognized that the program was now part of the integrated care service delivery. Despite it being potentially a â€œcostly processâ€",Enabler,Innovation,C. Innovation Relative Advantage
"Chow, 2019",The participants viewed telemonitoring as a â€œPositiveâ€,Enabler,Innovation,C. Innovation Relative Advantage
"Chow, 2019","The participants also commented that the telemonitoring intervention has contributed in providing social care in self-management capability for the patients, as they had ownership of their health and confidence in managing their own level of care.",Enabler,Individuals,B. Capability
"Chow, 2019","The participants also commented that the telemonitoring intervention has contributed in providing social care in self-management capability for the patients, as they had ownership of their health and confidence in managing their own level of care.",Enabler,Individuals,D. Motivation
"Chow, 2019","The participants also commented that the telemonitoring intervention has contributed in providing social care in self-management capability for the patients, as they had ownership of their health and confidence in managing their own level of care.",Enabler,Individuals,I. Innovation Recipients 
"Chow, 2019",They believed that telemonitoring will provide better patient care and reduce patientsâ€™ hospitalization rates.,Enabler,Innovation,C. Innovation Relative Advantage
"Chow, 2019","They acknowledged that it was a support tool for the patients in the community: People are more self-managing and their health literacy is improved and they know how to manage the condition and, you know, keep themselves healthy. (Participant 13).",Enabler,Individuals,B. Capability
"Chow, 2019","They acknowledged that it was a support tool for the patients in the community: People are more self-managing and their health literacy is improved and they know how to manage the condition and, you know, keep themselves healthy. (Participant 13).",Enabler,Individuals,I. Innovation Recipients 
"Chow, 2019","They acknowledged that it was a support tool for the patients in the community: People are more self-managing and their health literacy is improved and they know how to manage the condition and, you know, keep themselves healthy. (Participant 13).",Enabler,Individuals,D. Motivation
"Chow, 2019","Along with the identification of cohort and inherent changes to the program, one of the challenges faced from the early stages of implementation was the off-boarding process. Some of the patients needed to be off-boarded due to evolving of their chronic condition into palliative/respite care and this impacted on the pre-defined processes for terminating the monitoring plan for individuals. The participants reported that at the beginning, off-boarding was not only a lot more frequent, but it was also related to dependency on equipment. Participants at operational and subcontractor level described how some of the patients from the original cohort(with high level of care coordination needs) were reluctant to give up the equipment as this was perceived as â€œletting goâ€",Barrier,Innovation,Unintended consequences
"Chow, 2019"," A number of interview participants expressed the view that selecting a cohort with less advanced chronic conditions may help them learn how to self-manage their conditions:[...] but then we looked at their cohort and looked at who was on it and the fact that some people really needed to be off-boarded, because their disease had progressed so much that the actual admissions were appropriate, because they were sick, basically. So, I think thatâ€™s improved. The cohort of patients has improved because we are getting them earlier in their disease progression. So, developing them with self-management is probably improved. (Participant 14).",Enabler,Innovation,Suitability
"Chow, 2019"," A number of interview participants expressed the view that selecting a cohort with less advanced chronic conditions may help them learn how to self-manage their conditions:[...] but then we looked at their cohort and looked at who was on it and the fact that some people really needed to be off-boarded, because their disease had progressed so much that the actual admissions were appropriate, because they were sick, basically. So, I think thatâ€™s improved. The cohort of patients has improved because we are getting them earlier in their disease progression. So, developing them with self-management is probably improved. (Participant 14).",Enabler,Implementation process,I. Adapting
"Chow, 2019","In correlation with the program risk of costs and strategies for resourcing, the
participants recognized that the program was now part of the integrated care service
delivery. Despite it being potentially a “costly process” (reported by Participant 5), the
consensus amongst the participants was that the telemonitoring program was a “positive”
program and that it provided a better patient careeported by Participant 5)",Barrier,Innovation,H. Innovation cost
"Chow, 2019",There were numerous implementation and management lessons learnt from the telemonitoring program. Lessons around â€œPatient/cohort selection and communicationâ€,Barrier,Innovation,Suitability
"Chow, 2019",Communication challenges also came up as one of the major factors for improvement. Some participants suggested creating a central intake center for GPs and patients.,Barrier,Inner setting,C. Communications
"Chow, 2019","Participants reported operational difficulties concerning coordination, team work and lack of communication. All of these related to interaction within and across organizations: So, I think if there was a little bit better communication between GPs and ourselves, we may wellreduce some of that escalation and patient time. (Participant 4. )",Barrier,Inner setting,A3. Work Infrastructure
"Chow, 2019","Participants reported operational difficulties concerning coordination, team work and lack of communication. All of these related to interaction within and across organizations: So, I think if there was a little bit better communication between GPs and ourselves, we may wellreduce some of that escalation and patient time. (Participant 4. )",Barrier,Inner setting,C. Communications
"Chow, 2019","Participants reported operational difficulties concerning coordination, team work and lack of communication. All of these related to interaction within and across organizations: So, I think if there was a little bit better communication between GPs and ourselves, we may wellreduce some of that escalation and patient time. (Participant 4. )",Barrier,Outer setting,D. Partnerships & Connections
"Chow, 2019","Other issues reported from the current program included the logistic perspectives, such as the challenge of follow up after escalations and the issue of renting vs owning devices. A well-defined approach to the escalation process from the early phases of the program allowed for transparency in governance and clear allocation of tasks and responsibilities at both operational and management levels. It was evident to the participants that given the current model of care through telemonitoring, the preference was to rent the devices rather than owning them, allowing for hardware/software updates and maintenance to be controlled under one asset management.",Enabler,Implementation process,D. Planning
"Chow, 2019","Other issues reported from the current program included the logistic perspectives, such as the challenge of follow up after escalations and the issue of renting vs owning devices. A well-defined approach to the escalation process from the early phases of the program allowed for transparency in governance and clear allocation of tasks and responsibilities at both operational and management levels. It was evident to the participants that given the current model of care through telemonitoring, the preference was to rent the devices rather than owning them, allowing for hardware/software updates and maintenance to be controlled under one asset management.",Enabler,Inner setting,Governance
"Chow, 2019","Other issues reported from the current program included the logistic perspectives, such as the challenge of follow up after escalations and the issue of renting vs owning devices. A well-defined approach to the escalation process from the early phases of the program allowed for transparency in governance and clear allocation of tasks and responsibilities at both operational and management levels. It was evident to the participants that given the current model of care through telemonitoring, the preference was to rent the devices rather than owning them, allowing for hardware/software updates and maintenance to be controlled under one asset management.",Barrier,Innovation,G. Innovation Design
"Chow, 2019","Other issues reported from the current program included the logistic perspectives, such as the challenge of follow up after escalations and the issue of renting vs owning devices. A well-defined approach to the escalation process from the early phases of the program allowed for transparency in governance and clear allocation of tasks and responsibilities at both operational and management levels. It was evident to the participants that given the current model of care through telemonitoring, the preference was to rent the devices rather than owning them, allowing for hardware/software updates and maintenance to be controlled under one asset management.",Barrier,Inner setting,A3. Work Infrastructure
"Chow, 2019","Program risks. Participants identified a number of risks which they thought might affect the ongoing success of the telemonitoring program (Table III). Some participants stated that GP engagement was likely to be hard to maintain because telemonitoring responsibilities are an add-on to the existing professional responsibilities increasing GP workload. Extra tasks include checking online data, additional administration duties, increased communication and interaction with patients. These tasks put more load on the GPs and their practice staff: If your General Practitioner isnâ€™t engaged with you, this wonâ€™t work, and good engagement from consultants as well. (Participant 6)",Barrier,Implementation process,F1. Innovation Deliverers
